Utterance	Intents
in a good mood today	q_covid-19-qna, q_financial-qna
why do you think that	q_covid-19-qna, q_financial-qna
what is your favorite sport	q_covid-19-qna, q_financial-qna
i don't find that funny	q_covid-19-qna, q_financial-qna
nobody is going to miss me	q_covid-19-qna, q_financial-qna
i am mad	q_covid-19-qna, q_financial-qna
do you have a spouse	q_covid-19-qna, q_financial-qna
that was a random response	q_covid-19-qna, q_financial-qna
you're so astute	q_covid-19-qna, q_financial-qna
who is your favorite singer	q_covid-19-qna, q_financial-qna
you're not artificial right	q_covid-19-qna, q_financial-qna
how do you feel about artificial intelligence	q_covid-19-qna, q_financial-qna
i am leaving	q_covid-19-qna, q_financial-qna
what's your opinion of hal	q_covid-19-qna, q_financial-qna
i plan to cut myself today	q_covid-19-qna, q_financial-qna
that wasn't very funny at all	q_covid-19-qna, q_financial-qna
that's right	q_covid-19-qna, q_financial-qna
i'm very fond of you	q_covid-19-qna, q_financial-qna
is anybody there to talk	q_covid-19-qna, q_financial-qna
i'm out of sorts	q_covid-19-qna, q_financial-qna
stop with the noise	q_covid-19-qna, q_financial-qna
who do you answer to	q_covid-19-qna, q_financial-qna
is anyone there to talk	q_covid-19-qna, q_financial-qna
i have to take off now	q_covid-19-qna, q_financial-qna
i'm at home	q_covid-19-qna, q_financial-qna
is someone free to me	q_covid-19-qna, q_financial-qna
are you there to listen to me	q_covid-19-qna, q_financial-qna
i'm a teacher	q_covid-19-qna, q_financial-qna
i'd be better off dead	q_covid-19-qna, q_financial-qna
that's smart	q_covid-19-qna, q_financial-qna
i'd love to be your best friend.	q_covid-19-qna, q_financial-qna
can i be your pal	q_covid-19-qna, q_financial-qna
i’m the happiest guy on earth	q_covid-19-qna, q_financial-qna
you silly bot, i'll be back later	q_covid-19-qna, q_financial-qna
i'd love to be your buddy.	q_covid-19-qna, q_financial-qna
i'll be back next week	q_covid-19-qna, q_financial-qna
who's cuter	q_covid-19-qna, q_financial-qna
i love crossfit	q_covid-19-qna, q_financial-qna
that's a very brilliant thing to say	q_covid-19-qna, q_financial-qna
i didn't find that very funny	q_covid-19-qna, q_financial-qna
your face makes me sick	q_covid-19-qna, q_financial-qna
enough with the jokes already	q_covid-19-qna, q_financial-qna
can you state that a different way	q_covid-19-qna, q_financial-qna
i love independence day	q_covid-19-qna, q_financial-qna
up top	q_covid-19-qna, q_financial-qna
i'm an artist	q_covid-19-qna, q_financial-qna
come up with something else	q_covid-19-qna, q_financial-qna
